论文题目,会议名称
 Sparse r-cnn: End-to-end object detection withlearnable proposals, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition 
 Going deeper with convolutions, InProceedings of the IEEE conference on computer vision and pattern recognition
 Rethink-ing the inception architecture for computer vision, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Mlp-mixer: Anall-mlp architecture for vision, arXiv preprint arXiv:2105
 Training data-effiCient image transformers & distillation through attention, arXivpreprint arXiv:2012
 Resmlp: Feedforwardnetworks for image classification with data-efficient training, arXiv preprint arXiv:2105
"Hugo Touvron, Matthieu Cord, Alexandre Sablayrolles, Gabriel Synnaeve, and Herve Jegou", Goingdeeper with image transformers
 Attention is all you need, In Advances in neural informationprocessing systems
Glue: A multi-task benchmark and analysis platform for natural language understanding, arXivpreprint arXiv:1804
 Pvtv2: Improved baselines with pyramid vision transformer, arXiv preprintarXiv:2106
 Pyramid vision transformer: A versatile backbone for dense prediction withoutconvolutions, arXiv preprint arXiv:2102
 End-to-end video instance segmentation with transformers, In Proceedings of theIEEE/CVF Conference on Computer Vision and Pattern Recognition
 Pytorch image models, https://github
 Cvt:Introducing convolutions to vision transformers, arXiv preprint arXiv:2103
 Unified perceptual parsing forscene understanding, In Proceedings of the European Conference on Computer Vision (ECCV)
 Seg-former: Simple and efficient design for semantic segmentation with transformers, arXiv preprintarXiv:2105
 Aggregated residual trans-formations for deep neural networks, In Proceedings of the IEEE conference on computer visionandpattern recognition
Xlnet: Generalized autoregressive pretraining for language understanding, Advances in neuralinformation processing systems
 Disen-tangled non-local neural netWorks, In European Conference on Computer Vision
 Multi-scale context aggregation by dilated convolutions, In ICLR
 S2-mlp: Spatial-shift mlp architecture forvision, arXiv preprint arXiv:2106
 Tokens-to-token vit: Training vision transformers from scratch onimagenet, arXiv preprint arXiv:2101
 Object-contextual representations for semantic seg-mentation, In Computer Vision-ECCV 2020: 16th European Conference
Cutmix: Regularization strategy to train strong classifiers With localizable features, In Proceed-ings of the IEEE/CVF International Conference on Computer Vision
 mixup: Beyond empiricalrisk minimization, arXiv preprint arXiv:1710
 Rethinking semantic segmentation froma sequence-to-sequence perspective With transformers, In Proceedings of the IEEE/CVF Confer-ence on Computer Vision and Pattern Recognition
 Random erasing data augmen-tation, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Sceneparsing through ade20k dataset, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Deformable detr:Deformable transformers for end-to-end object detection, arXiv preprint arXiv:2010
