论文题目,会议名称
 Deep residual learning for image recog-nition, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Google’s medical ai was super accurate in a lab, real life was a differentstory
 Benchmarking neural network robustness to common cor-ruptions and perturbations, In Proceedings of the International Conference on Learning Repre-sentations
 Using trusted data to traindeep networks on labels corrupted by severe noise, In Advances in Neural Information ProcessingSystems
 Using pre-training can improve model robustnessand uncertainty, In Proceedings of the International Conference on Machine Learning
 AugMix: A simple data processing method to improve robustness and uncertainty, InAdvances in Neural Information Processing Systems
 The many faces of robustness: A criticalanalysis of out-of-distribution generalization, Proceedings of the International Conference onComputer Vision
 β-VAE: Learning basic visual concepts with a con-strained variational framework, In Proceedings of the International Conference on LearningRepresentations
 Darla: Improving zero-shottransfer in reinforcement learning, In Proceedings of the International Conference on MachineLearning
" Computer vision for autonomousvehicles: Problems, datasets and state of the art", Foundations and Trends? in Computer Graphicsand Vision
 Support and invertibility in domain-invariant representations, In The International Conference on Artificial Intelligence and Statistics
 A, Kohl
 A style-based generator architecture for generativeadversarial networks, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Learning from noisy singly-labeleddata, In Proceedings of the International Conference on Learning Representations
 Disentangling by factorising, In Proceedings of the InternationalConference on Machine Learning
 Auto-encoding variational bayes, arXiv preprintarXiv:1312
 WILDS: Abenchmark of in-the-wild distribution shifts, arXiv preprint arXiv:2012
 Learning methods for generic object recognition withinvariance to pose and lighting, Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
" Deeper, broader and artier domaingeneralization", In Proceedings of the International Conference on Computer Vision
Deep domain generalization via conditional invariant adversarial networks, In Proceedings of theEuropean Conference on Computer Vision
 Just Train Twice: Improving group robustness without traininggroup information, In Proceedings of the International Conference on Machine Learning
 Challenging common assumptions in the unsupervised learn-ing of disentangled representations, In Proceedings of the International Conference on MachineLearning
 Weakly-supervised disentanglement without compromises, In Proceedings of theInternational Conference on Machine Learning
 Learning transferable features withdeep adaptation networks, In Proceedings of the International Conference on Machine Learning
 Deep transfer learning with jointadaptation networks, In Proceedings of the International Conference on Machine Learning
 dsprites: Disentanglementtesting sprites dataset, https://github
 A surveyon bias and fairness in machine learning, ACM Computing Surveys (CSUR)
The role of disentanglement in generalisation, In Proceedings of the International Conference onLearning Representations
 Rectified linear units improve restricted boltzmann machines,In Proceedings of the International Conference on Machine Learning
 Reducing do-main gap by reducing style bias, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Makingdeep neural networks robust to label noise: A loss correction approach, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition
 Moment matchingfor multi-source domain adaptation, In Proceedings of the International Conference on ComputerVision
 Unsuperviseddomain adaptation for medical imaging segmentation with self-ensembling, NeuroImage
 Learning transferable visual models from natural language supervision, arXiv preprintarXiv:2103
 Stochastic backpropagation andapproximate inference in deep generative models, In Proceedings of the International Conferenceon Machine Learning
 Imagenet large scale visual recognition challenge,
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion, Proceedings of the International Conference on Learning Representations
 Improving robustness against common corruptions by covariate shift adaptation, InProceedings of the International Conference on Learning Representations
 Visual representation learningdoes not generalize strongly within the same domain, In Proceedings of the International Con-ference on Learning Representations
 Do image classifiers generalize across time? arXiv preprint arXiv:1906,2168
 Deep coral: Correlation alignment for deep domain adaptation, InProceedings of the European Conference on Computer Vision
 Measuring robustness to natural distribution shifts in image classification, arXiv preprintarXiv:2007
 Unbiased look at dataset bias, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Principles of risk minimization for learning theory, In Advances in Neural Infor-mation Processing Systems
 Deephashing network for unsupervised domain adaptation, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Heterogeneous domain generalization via domain mixup,In Proceedings of the IEEE International Conference on Acoustics
 Noise or Signal: The role ofimage backgrounds in object recognition, ArXiv preprint arXiv:2006
 Intriguing properties of adversarial training at scale, In Proceedings ofthe International Conference on Learning Representations
Adversarial domain adaptation with domain mixup, In AAAI Conference on Artificial Intelligence
 Improve unsupervised domainadaptation with mixup training, arXiv preprint arXiv:2001
 MixUp: Beyond empir-ical risk minimization, In Proceedings of the International Conference on Learning Representa-tions
 When unseen domain generalizationis unnecessary? rethinking data augmentation, arXiv preprint arXiv:1906
 On learning invariant rep-resentations for domain adaptation, In Proceedings of the International Conference on MachineLearning
 Deep domain-adversarial im-age generation for domain generalisation, In AAAI Conference on Artificial Intelligence
 Unpaired image-to-image translationusing cycle-consistent adversarial networks, In Proceedings of the International Conference onComputer Vision
